Distance (m),Elevation (m)
65681.93571,87.59439087
65926.10647,83.54497528
66170.27724,75.87765503
66414.448,72.44720459
66658.61877,69.64176941
66902.78953,68.59437561
67146.9603,67.65251923
67391.13106,67.34947205
67635.30183,68.49933624
67879.47259,67.02915955
68123.64336,75.39533234
68367.81412,62.19405746
68611.98489,62.86923218
68856.15565,66.97883606
69100.32641,63.34556198
69344.49718,56.20007324
69588.66794,52.74747849
69832.83871,53.12430573
70077.00947,52.43935013
70321.18024,51.45176697
70565.351,53.72644806
70809.52177,51.19480515
71053.69253,52.61968994
71297.8633,55.26815414
71542.03406,49.19388962
71786.20483,47.04370117
72030.37559,45.36125183
72274.54636,45.47519302
72518.71712,44.42818832
72762.88789,41.86540604
73007.05865,41.15390396
73251.22941,40.42451859
73495.40018,37.51199722
73739.57094,34.65335464
73983.74171,33.569664
74227.91247,33.54001236
74472.08324,32.94403458
74716.254,31.45884323
74960.42477,30.00483131
75204.59553,27.63470078
75448.7663,28.6094017
75692.93706,27.24301529
75937.10783,25.70020294
76181.27859,25.6119976
76425.44936,26.58636284
76669.62012,26.67833519
76913.79089,27.53613472
77157.96165,26.58934021
77402.13241,26.43832588
77646.30318,26.67329979
77890.47394,26.01556015
78134.64471,25.69467354
78378.81547,25.95872879
78622.98624,25.20177078
78867.157,25.4556675
79111.32777,24.2589798
79355.49853,24.02193069
79599.6693,24.68697166
79843.84006,24.45647812
80088.01083,24.33500481
80332.18159,24.80312157
80576.35236,23.67388535
80820.52312,22.81795311
81064.69389,22.17465782
81308.86465,22.894907
81553.03542,22.58380699
81797.20618,21.62677574
82041.37694,22.06786537
82285.54771,22.47349358
82529.71847,23.17882729
82773.88924,21.99853516
83018.06,22.58462906
83262.23077,22.28000069
83506.40153,22.37890625
83750.5723,22.07386208
83994.74306,20.90419388
84238.91383,21.25196266
84483.08459,21.78177834
84727.25536,21.23862648
84971.42612,22.17077255
85215.59689,22.07709122
85459.76765,23.33647919
85703.93842,22.80441475
85948.10918,22.27111244
86192.27994,22.09550476
86436.45071,21.51710701
86680.62147,21.46481705
86924.79224,21.81434822
87168.963,22.37248039
87413.13377,22.24174309
87657.30453,21.1071434
87901.4753,20.86237335
88145.64606,21.04420853
88389.81683,21.41966438
88633.98759,21.55171013
88878.15836,20.33672714
89122.32912,20.04939461
89366.49989,20.0406723
89610.67065,20.7390976
89854.84142,20.41135979
90099.01218,20.85639954
90343.18294,20.59969521
90587.35371,20.23634148
90831.52447,19.839468
91075.69524,19.7278595
91319.866,19.62718773
91564.03677,19.68428993
91808.20753,17.7215786
92052.3783,17.8196106
92296.54906,18.2401886
92540.71983,18.43967628
92784.89059,19.87073517
93029.06136,19.41383743
93273.23212,18.52591133
93517.40289,18.01345634
93761.57365,17.77593422
94005.74442,17.44895935
94249.91518,18.90475655
94494.08595,18.13389397
94738.25671,17.36158371
94982.42747,17.09687424
95226.59824,16.22749901
95470.769,15.84145546
95714.93977,16.16135597
95959.11053,16.35392761
96203.2813,17.24823189
96447.45206,17.31563568
96691.62283,18.03152275
96935.79359,19.01044464
97179.96436,17.03911209
97424.13512,16.79374504
97668.30589,16.44550705
97912.47665,17.1040287
98156.64742,18.28921127
98400.81818,17.57602119
98644.98895,18.19994926
98889.15971,17.10504341
99133.33047,21.214674
99377.50124,23.34586906
99621.672,17.4714756
99865.84277,19.78110695
100110.0135,16.79509163
100354.1843,14.67615509
100598.3551,13.92609501
100842.5258,14.76165867
101086.6966,15.04171848
101330.8674,13.60662365
101575.0381,13.36301136
101819.2089,13.47785473
102063.3797,12.89900398
102307.5504,13.0678463
102551.7212,13.29567432
102795.8919,12.92702389
103040.0627,12.37053585
103284.2335,12.71319866
103528.4042,12.16361046
103772.575,11.58639908
104016.7458,12.02610588
104260.9165,10.78742123
104505.0873,10.37450409
104749.2581,9.96198082
104993.4288,9.942445755
105237.5996,9.642198563
105481.7704,10.18861103
105725.9411,9.805341721
105970.1119,9.869689941
106214.2827,9.69936657
106458.4534,10.28269768
106702.6242,8.596221924
106946.7949,8.252295494
107190.9657,7.862185001
107435.1365,8.053677559
107679.3072,7.614402294
107923.478,7.242509842
108167.6488,7.371771336
108411.8195,6.444982052
108655.9903,7.084924221
108900.1611,5.848040104
109144.3318,5.446386337
109388.5026,6.42839241
109632.6734,5.754915714
109876.8441,6.429476261
110121.0149,6.017504215
110365.1857,4.185911655
110609.3564,4.803190231
110853.5272,3.594948292
111097.6979,7.011424065
111341.8687,6.002288342
111586.0395,5.707444668
111830.2102,7.627519608
112074.381,8.309503555
112318.5518,6.379807472
112562.7225,5.775566578
112806.8933,9.126761436
113051.0641,5.805754185
113295.2348,3.631709576
113539.4056,4.379648209
113783.5764,6.111232281
114027.7471,3.207874298
114271.9179,4.570641518
114516.0887,9.092848778
114760.2594,6.0455513
115004.4302,5.04214716
115248.6009,9.999638557
115492.7717,5.225055218
115736.9425,4.916651249
115981.1132,4.59910059
116225.284,3.911159754
116469.4548,4.93880415
116713.6255,4.132338524
116957.7963,4.385231495
117201.9671,4.440738201
117446.1378,5.276465893
117690.3086,6.030743599
117934.4794,6.267970562
118178.6501,5.466160774
118422.8209,5.244942188
118666.9917,5.195673466
118911.1624,5.206858635
119155.3332,5.85077095
119399.5039,7.166416168
119643.6747,8.762599945
119887.8455,11.64351845
120132.0162,5.595484734
120376.187,6.288322449
120620.3578,6.390775681
120864.5285,8.643096924
121108.6993,5.451316357
